Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
【出張・校長】庄内地区校長会③,06/03/2026,9:30 AM,06/03/2026,12:00 PM,FALSE,☆令和8年度庄内地区校長会③（校長 9:30〜12:00）,庄内小,FALSE
【職員研修】庄内地区小中一貫 推進会議・担当者会（全職員）,06/03/2026,3:00 PM,06/03/2026,4:25 PM,FALSE,☆庄内地区小中一貫教育推進会議・担当者会（全校長・教務・研究主任 15:00〜16:25）,乙房小,FALSE
【職員研修】主題研②,06/10/2026,3:30 PM,06/10/2026,4:30 PM,FALSE,職員研修：主題研②（特別B校時・5時間下校日）,,FALSE
【出張・校長】都城支会 小・中学校長合同研修会,06/17/2026,9:10 AM,06/17/2026,11:50 AM,FALSE,☆令和8年度 都城支会小・中学校長合同研修会（校長 9:10〜11:50）,祝吉地区公民館,FALSE
【職員研修】庄内地区小中一貫 第1回全体会（全職員）,06/17/2026,3:00 PM,06/17/2026,4:25 PM,FALSE,☆第1回庄内地区小中一貫第1回全体会（全職員 15:00〜16:25）/ 全校5時間下校,乙房小,FALSE
【サポート委員会】,06/18/2026,,06/18/2026,,TRUE,サポート委員会 ／ くれよん号の日,,FALSE
【出張】学校給食献立委員会（給食主任）,06/18/2026,,06/18/2026,,TRUE,☆令和8年度学校給食献立委員会（給食主任）,,FALSE
【職員研修】主題研③,06/24/2026,3:30 PM,06/24/2026,4:30 PM,FALSE,職員研修：主題研③,,FALSE
【出張・校長】市校長会,06/24/2026,,06/24/2026,,TRUE,☆市校長会（校長）,,FALSE
【出張・教頭】第2回庄内地区教頭会,06/25/2026,9:00 AM,06/25/2026,11:00 AM,FALSE,☆R8第2回庄内地区教頭会（教頭 9:00〜11:00）,庄内地区公民館,FALSE
【出張】都北地区生徒指導連絡協議会（吉永(恵)）,06/25/2026,3:00 PM,06/25/2026,4:25 PM,FALSE,☆R8都北地区生徒指導連絡協議会（吉永（恵） 15:00〜16:25）,,FALSE
【出張】中堅研修 第1回オンデマンドⅡ期 開始（堀切・音山）,07/01/2026,,07/01/2026,,TRUE,☆中堅研修第1回オンデマンド研修Ⅱ期（堀切・音山 ～8/31まで）,,FALSE
【出張・校長】庄内地区校長会④,07/02/2026,9:30 AM,07/02/2026,12:00 PM,FALSE,☆令和8年度庄内地区校長会④（校長 9:30〜12:00）,菓子野小,FALSE
【出張】庄内地区小中一貫 第2回担当者会（教務・研究主任）,07/02/2026,3:30 PM,07/02/2026,4:25 PM,FALSE,☆庄内地区小中一貫教育第2回担当者会（教務・研究主任 15:30〜16:25）/ 職場体験（庄内中2名来校）,乙房小,FALSE
【職専免】健康診断（教頭 AM）,07/02/2026,,07/02/2026,,TRUE,〇職専免：健康診断（教頭 AM）,,FALSE
【出張】第3回中堅研（音山 オンライン）,07/07/2026,,07/07/2026,,TRUE,☆第3回中堅研（音山 オンライン）,,FALSE
【出張・校長】管理職研修③ 組織マネジメント（オンライン）,07/10/2026,9:30 AM,07/10/2026,2:30 PM,FALSE,☆管理職研修③ 組織マネジメント（校長 9:30〜14:30 オンライン）,,FALSE
【出張】第2回理科主任会（音山）,07/10/2026,,07/10/2026,,TRUE,☆第2回理科主任会（音山 早水体育文化センター）/ SC来校・くれよん号の日,早水体育文化センター,FALSE
【出張・教頭】第3回庄内地区教頭会,07/16/2026,3:00 PM,07/16/2026,4:30 PM,FALSE,☆R8第3回庄内地区教頭会（教頭 15:00〜16:30）,庄内地区公民館,FALSE
【出張】中堅研：選択研修（音山 オンライン）,07/17/2026,,07/17/2026,,TRUE,☆中堅研：選択研修（音山 PM オンライン）,,FALSE
【主題研修】主題研④⑤・サポート委員会（1.5h）,07/24/2026,,07/24/2026,,TRUE,主題研④⑤（1.5h）・サポート委員会（夏季休業中の校内研修）,,FALSE
【出張】宮崎県養護教諭部会 研究大会（堀切 PM）,07/24/2026,,07/24/2026,,TRUE,☆宮崎県養護教諭部会研究大会（堀切 PM）,新富町,FALSE
【出張】九州数学教育会総会・九州算数数学教育研究大会（〜29日）,07/27/2026,,07/29/2026,,TRUE,第80回九州数学教育会総会並びに九州算数・数学教育研究大会（7/27〜7/29）,北九州,FALSE
【出張】中堅研：選択研修（音山 オンライン）,07/29/2026,,07/29/2026,,TRUE,☆中堅研：選択研修（音山 PM オンライン）,,FALSE
【出張】宮崎県人権同和・人権同和研究大会,07/30/2026,9:30 AM,07/30/2026,4:00 PM,FALSE,☆第49回宮崎県人権同和・第42回宮崎地区人権同和研究大会（9:30〜16:00）,メディキッド県民文化センター,FALSE
【出張・校長】R8宮崎県校長会研究大会,07/31/2026,,07/31/2026,,TRUE,☆R8宮崎県校長会研究大会（校長）,綾小・綾中,FALSE
【出張】R8第26回宮崎県特別支援教育研究連合研究大会,07/31/2026,10:00 AM,07/31/2026,4:00 PM,FALSE,☆R8第26回宮崎県特別支援教育研究連合研究大会（10:00〜16:00）,都城市総合文化ホール,FALSE
