Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
【出張】令和7年度人権教育推進研修会／共同学校事務,06/01/2026,,06/01/2026,,TRUE,☆共同学校事務 ／ 〇令和7年度人権教育推進研修会,,FALSE
【出張・校長】庄内地区校長会研修会（第3回）,06/03/2026,,06/03/2026,,TRUE,☆令和7年度第3回庄内地区校長会研修会,,FALSE
【出張】共同学校事務,06/04/2026,,06/04/2026,,TRUE,☆共同学校事務,,FALSE
【職員研修】主題研修,06/10/2026,3:30 PM,06/10/2026,4:30 PM,FALSE,職員研修：主題研（命の大切さを考える日／歯みがき指導日）,,FALSE
【出張・校長】都城支会校長会・小中合同研修会,06/11/2026,,06/11/2026,,TRUE,☆都城支会校長会・小中合同研修会,,FALSE
【出張】都城市社協総会・研修会／学校図書サポーター研修会,06/12/2026,,06/12/2026,,TRUE,☆R7都城市社会福祉協議会総会・研修会 ／ ☆R7第5回学校図書館サポーター研修会,,FALSE
【出張・教頭】副校長・教頭・事務主幹コンプライアンス研修会,06/16/2026,,06/16/2026,,TRUE,☆令和7年度副校長・教頭・事務主幹対象コンプライアンス研修会 ／ ☆R7学校図書部会第1回研究部会,,FALSE
【出張・教頭】庄内地区教頭会／県の初期研修(B),06/18/2026,,06/18/2026,,TRUE,☆庄内地区教頭会 ／ ☆R7県の初期研修④B日程,,FALSE
【出張】県の初期研修(C),06/19/2026,,06/19/2026,,TRUE,☆R7県の初期研修④C日程,,FALSE
【主題研修】主題研究／全員出張(小中一貫全体研修会),06/24/2026,,06/24/2026,,TRUE,主題研究（校内）／ ☆R7庄内地区小中一貫教育第1回全体研修会（全職員） ／ ☆R7第2回都城市小・中学校校長会（校長）※体力テスト予備日,,FALSE
【出張・教務】庄内地区小中一貫教育 第2回担当者会,07/02/2026,3:30 PM,07/02/2026,4:25 PM,FALSE,☆R7庄内地区小中一貫教育第2回担当者会（教務 15:30〜16:25）,菓子野小,FALSE
【出張】第2回市校長会／学校保健会養教部会,07/06/2026,,07/06/2026,,TRUE,☆第2回市校長会（校長） ／ ☆R7第1回都城市学校保健会養教部会（養教）,,FALSE
【出張】共同学校事務,07/07/2026,,07/07/2026,,TRUE,☆R7共同学校事務,,FALSE
【出張・校長】庄内地区校長会研修会（第4回）,07/08/2026,,07/08/2026,,TRUE,☆R7第4回庄内地区校長会研修会（校長）,,FALSE
【出張・教頭】庄内地区教頭会,07/09/2026,,07/09/2026,,TRUE,☆R7庄内地区教頭会（教頭）,,FALSE
【出張】管理職メンタルヘルス／理科主任会,07/10/2026,,07/10/2026,,TRUE,☆R7管理職メンタルヘルス（校長） ／ 〇R7乙房神社神事（校長） ／ ☆R7第2回理科主任会（教務）,,FALSE
【出張・校長】経営ビジョン説明会〈教職員評価ヒアリング〉,07/14/2026,,07/14/2026,,TRUE,☆R7経営ビジョン説明会〈教職員評価ヒアリング〉（校長）,,FALSE
【校務部会】8・9・10月行事,07/23/2026,,07/23/2026,,TRUE,夏季休業初日／校務部会（8・9・10月行事） ／ ☆R7 2学期学校訪問校長会,,FALSE
【主題研修】サポート委員会・主題研,07/24/2026,,07/24/2026,,TRUE,サポート委員会・主題研（夏季休業中の校内研修）,,FALSE
【出張】Googleコア研修／地域と学校の未来創造ミーティング,07/28/2026,,07/28/2026,,TRUE,☆R7 Googleコア研修（研究主任他） ／ ☆R7地域と学校の未来創造ミーティング,,FALSE
【出張】Googleコア研修,07/29/2026,,07/29/2026,,TRUE,☆R7 Googleコア研修,,FALSE
【出張】庄内地区小中一貫教育 第2回全体研修会／Google応用研修,07/30/2026,,07/30/2026,,TRUE,☆R7庄内地区小中一貫教育第2回全体研修会 ／ ☆R7 Google応用研修,,FALSE
