Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
生活アンケート（全学年 SOSの出し方【学活】6月中実施）,06/01/2026,,06/01/2026,,TRUE,全学年 SOSの出し方【学活】（6月中に各学級で実施）・安全点検・終礼,,FALSE
プール掃除機操作方法伝達・全校5時間下校,06/02/2026,,06/02/2026,,TRUE,作業（プール掃除機操作方法伝達）・全校5時間下校,,FALSE
全校朝会・フッ化物口すすぎ（全学年）,06/03/2026,,06/03/2026,,TRUE,全校朝会・フッ化物口すすぎ（全学年）,,FALSE
特別6校時・委員会活動(3),06/04/2026,3:45 PM,06/04/2026,4:30 PM,FALSE,終礼・安全点検 15:45～ / 委員会活動③回目,,FALSE
SC来校,06/05/2026,,06/05/2026,,TRUE,SC来校,,FALSE
くれよん号の日,06/08/2026,,06/08/2026,,TRUE,"くれよん号の日
📄 図書バッグ保管場所について: https://docs.google.com/document/d/1_kbeLzH2eGICjpCj83Lvwtw0lC2a_JCohMohrAPG_zk/edit",,FALSE
プール開き・体力検査（2・1・5年）【体育行事】,06/09/2026,,06/09/2026,,TRUE,プール開き・体力検査（2・1・5年）【体育行事】,,FALSE
いのちの大切さを考える日,06/10/2026,,06/10/2026,,TRUE,いのちの大切さを考える日,,FALSE
きりしま支援学校出前授業（体育館）,06/11/2026,10:00 AM,06/11/2026,11:40 AM,FALSE,"1～3年③10:00-10:45 / 4～6年④10:55-11:40
📄 出前授業計画: https://docs.google.com/document/d/1KRVOTs2YOT__W2B0yxY__IObhSg5tcFXmoeyQfEXWKA/edit
📄 交流計画（改訂版）: https://docs.google.com/document/d/19bhor_fDF8I5oCgSeDWlV1Fw4OO9jj3s1MGP4QS7Htg/edit",乙房小体育館,FALSE
SC来校,06/12/2026,,06/12/2026,,TRUE,SC来校,,FALSE
小中一貫教育 担当者会,06/22/2026,3:00 PM,06/22/2026,4:25 PM,FALSE,15:00～16:25,乙房小,FALSE
体力テスト予備日,06/25/2026,,06/25/2026,,TRUE,体力テスト予備日,,FALSE
参観日（午前）・学校保健委員会,06/26/2026,,06/26/2026,,TRUE,"2・4・5年+なのはな→2校時参観・3校時懇談 / 1・3・6年+ひまわり→3校時参観・4校時懇談
参観資料は6月18日（木）までに起案
📄 参観日計画: https://docs.google.com/document/d/1Zjen-qkPdiHorCGqdoeVuCM5xAgEFzQID4ndq75Rlec/edit",,FALSE
PTA（救急救命法）,06/26/2026,12:00 PM,06/26/2026,3:00 PM,FALSE,"PTA救急救命法のため体育館使用不可（12:00～）
📄 参観日計画: https://docs.google.com/document/d/1Zjen-qkPdiHorCGqdoeVuCM5xAgEFzQID4ndq75Rlec/edit",,FALSE
庄内中参観日,06/29/2026,,06/29/2026,,TRUE,庄内中参観日,,FALSE
月末統計・自己紹介カード提出〆切（きりしま支援学校）,06/30/2026,,06/30/2026,,TRUE,"きりしま支援学校への自己紹介カード→理科室に提出
📄 自己紹介カードについて: https://docs.google.com/document/d/1qq2U9wWPcTp0p-nlanqH_VOwUK7T_XU_Piidg2Z5C7k/edit",,FALSE
特別B校時・安全点検・校務部会（夏季休業計画）,07/01/2026,,07/01/2026,,TRUE,特別B校時・安全点検・校務部会（夏季休業計画）,,FALSE
庄内地区校長会・健康診断（教頭AM）・小中一貫第2回担当者会,07/02/2026,9:30 AM,07/02/2026,4:25 PM,FALSE,庄内地区校長会(9:30) / 健康診断(教頭 AM) / 小中一貫第2回担当者会（研究主任 15:30～16:25）,乙房小,FALSE
特別B校時・教育相談・SC来校,07/03/2026,,07/03/2026,,TRUE,特別B校時・教育相談・SC来校,,FALSE
特別B校時（予備時数削減）・着衣水指導（1・2・3・4年）,07/06/2026,,07/06/2026,,TRUE,特別B校時（予備時数削減）・着衣水指導（1・2・3・4年）,,FALSE
特別B校時（予備時数削減）,07/07/2026,,07/07/2026,,TRUE,特別B校時（予備時数削減）,,FALSE
全員個人面談①・着衣水指導（1・5・6年）,07/08/2026,3:30 PM,07/08/2026,4:30 PM,FALSE,"6時間授業後3コマ（15:30～16:30） / 着衣水指導（1・5・6年）
📄 全員個人面談実施計画案: https://docs.google.com/document/d/1z8-N3Oc4trPgBeRa2Vb_jmbAcSCwlMafwS7rj4LHV40/edit
📄 個人面談手持ち資料: https://docs.google.com/document/d/1LPdG-2o2e6g4f3jcxvMJUwxbmyPGdno5P4NUxr1ezys/edit",,FALSE
全員個人面談②・CW健康診断,07/09/2026,3:30 PM,07/09/2026,4:30 PM,FALSE,"6時間授業後3コマ（15:30～16:30） / CW健康診断(H) PM
📄 全員個人面談実施計画案: https://docs.google.com/document/d/1z8-N3Oc4trPgBeRa2Vb_jmbAcSCwlMafwS7rj4LHV40/edit
📄 個人面談手持ち資料: https://docs.google.com/document/d/1LPdG-2o2e6g4f3jcxvMJUwxbmyPGdno5P4NUxr1ezys/edit",,FALSE
全員個人面談③・くれよん号の日・学業振興費1学期支払い〆切,07/10/2026,2:30 PM,07/10/2026,4:30 PM,FALSE,"5時間授業後6コマ（14:30～16:30） / くれよん号の日 / SC来校（オンライン）/ 学業振興費1学期分支払い〆切
📄 全員個人面談実施計画案: https://docs.google.com/document/d/1z8-N3Oc4trPgBeRa2Vb_jmbAcSCwlMafwS7rj4LHV40/edit
📄 学業振興費支出伺い・支払い: https://docs.google.com/document/d/1csDZ7ccW2jz9qlO_9i0il6zWzBCQ8Qqkd9dqDarOZlE/edit",,FALSE
全員個人面談④,07/13/2026,2:30 PM,07/13/2026,4:30 PM,FALSE,"5時間授業後6コマ（14:30～16:30）
📄 全員個人面談実施計画案: https://docs.google.com/document/d/1z8-N3Oc4trPgBeRa2Vb_jmbAcSCwlMafwS7rj4LHV40/edit",,FALSE
全員個人面談⑤,07/14/2026,2:30 PM,07/14/2026,4:30 PM,FALSE,"5時間授業後6コマ（14:30～16:30）
📄 全員個人面談実施計画案: https://docs.google.com/document/d/1z8-N3Oc4trPgBeRa2Vb_jmbAcSCwlMafwS7rj4LHV40/edit",,FALSE
全員個人面談⑥,07/15/2026,3:30 PM,07/15/2026,4:30 PM,FALSE,"6時間授業後3コマ（15:30～16:30）
📄 全員個人面談実施計画案: https://docs.google.com/document/d/1z8-N3Oc4trPgBeRa2Vb_jmbAcSCwlMafwS7rj4LHV40/edit",,FALSE
非行防止教室・全員個人面談⑦,07/16/2026,9:05 AM,07/16/2026,4:30 PM,FALSE,"非行防止教室：2校時9:05（1・2年）/ 3校時10:00（3・4年）/ 4校時10:55（5・6年）
個人面談：6時間後3コマ（15:30～16:30）
📄 非行防止教室計画: https://docs.google.com/document/d/17HFeuQP5nciOhTg54jegl_wO-TzhD1vMcICzS6b2Jcc/edit
📄 全員個人面談実施計画案: https://docs.google.com/document/d/1z8-N3Oc4trPgBeRa2Vb_jmbAcSCwlMafwS7rj4LHV40/edit",,FALSE
全員個人面談⑧,07/17/2026,2:30 PM,07/17/2026,4:30 PM,FALSE,"5時間授業後6コマ（14:30～16:30）
📄 全員個人面談実施計画案: https://docs.google.com/document/d/1z8-N3Oc4trPgBeRa2Vb_jmbAcSCwlMafwS7rj4LHV40/edit",,FALSE
1学期大掃除（5校時）・全校5時間下校,07/21/2026,11:50 AM,07/21/2026,12:30 PM,FALSE,"縦割り清掃班→自教室清掃（11:50-12:30） / 全校5時間下校
📄 大掃除計画: https://docs.google.com/document/d/1S0Ea5m3-24yx1KDdccy0dWH9U6dMz3A5QvFvKeqrvGQ/edit",,FALSE
1学期終業式・集団下校・職員会・校務部会,07/22/2026,9:05 AM,07/22/2026,5:00 PM,FALSE,"終業式2校時(9:05-9:50) / 集団下校(12:40-12:50) / 月末統計 / 職員会(1学期反省) / コンプライアンス研修 / 校務部会(8・9・10月行事)
📄 終業式計画: https://docs.google.com/document/d/1PpbeM-AZULzgGt0yKiyz-JtiaUJDbE9fhXBwO5D3Tv0/edit
📄 終業式進行: https://docs.google.com/document/d/13x05tAHJ9N-104hYWh6kU5T6B7IrHPth7djlfamlnek/edit
📄 終業式表彰把握回覧: https://docs.google.com/document/d/1kw13FkXtMJv97WDOmYHIarQBNC5GJl8Vh66d59CNHnY/edit
📄 集団下校計画: https://docs.google.com/document/d/11sRABHCLDErwV9PnoDnvumtseY3Jx1s6_XFN8wi3YQk/edit",,FALSE
